GEN;ID;FITNESS;GAINFITNESS;SURVIVAL;ORIGINE
0;1;16.758;0;1;0
0;2;13.469;0;1;0
0;3;16.028;0;1;0
0;4;16.702;0;1;0
0;5;15.543;0;1;0
0;6;14.231;0;1;0
0;7;13.428;0;1;0
0;8;14.619;0;1;0
0;9;11.386;0;3;0
0;10;16.871;0;1;0
0;11;13.03;0;1;0
0;12;12.334;0;2;0
0;13;15.108;0;1;0
0;14;15.502;0;1;0
0;15;10.961;0;4;0
0;16;14.104;0;1;0
0;17;13.528;0;1;0
0;18;11.929;0;2;0
0;19;13.238;0;1;0
0;20;14.171;0;1;0
0;21;14.832;0;1;0
0;22;16.069;0;1;0
0;23;12.441;0;2;0
0;24;16.127;0;1;0
0;25;14.08;0;1;0
0;26;13.83;0;1;0
0;27;13.781;0;1;0
0;28;13.336;0;2;0
0;29;15.555;0;1;0
0;30;14.622;0;1;0
0;31;14.139;0;1;0
0;32;14.656;0;1;0
0;33;11.42;0;2;0
0;34;13.038;0;1;0
0;35;12.756;0;2;0
0;36;11.874;0;2;0
0;37;12.413;0;2;0
0;38;15.246;0;1;0
0;39;12.449;0;2;0
0;40;13.354;0;2;0
1;41;11.386;0;2;4
1;42;11.42;0;2;4
1;43;11.917;-0.291;1;3
1;44;14.087;1.057;0;1
1;45;15.706;3.315;0;2
1;46;11.874;0;2;4
1;47;11.222;0.261;2;1
1;48;11.846;-0.596;1;1
1;49;11.874;0;1;4
1;50;14.678;1.922;0;1
1;51;13.83;0;0;4
1;52;12.435;0.291;1;2
1;53;12.413;0;1;4
1;54;11.386;0;2;2
1;55;11.816;-1.086;1;3
1;56;12.441;0;1;4
1;57;12.756;0;1;4
1;58;13.4;1.242;1;3
1;59;14.468;1.038;0;2
1;60;11.386;0;2;1
1;61;12.457;0.268;1;2
1;62;15.938;3.007;0;2
1;63;12.756;0;0;4
1;64;12.657;1;1;3
1;65;10.292;-2.253;3;3
1;66;11.42;0;2;4
1;67;11.929;0;2;4
1;68;12.972;0.416;0;2
1;69;13.378;0.965;1;1
1;70;16.002;4.828;0;3
1;71;13.958;2.328;0;3
1;72;12.501;0.572;1;3
1;73;12.413;0;0;4
1;74;11.139;-1.617;3;1
1;75;12.449;0;1;1
1;76;11.346;-0.074;2;1
1;77;10.961;0;2;4
1;78;14.049;0.695;0;1
1;79;11.758;0.128;1;3
1;80;13.499;0.894;1;3
2;81;11.139;0;1;1
2;82;9.781;-0.511;4;3
2;83;13.132;2.506;0;3
2;84;11.346;0;1;4
2;85;10.39;-0.783;1;3
2;86;10.961;0;2;2
2;87;11.139;0;1;2
2;88;11.139;0;1;1
2;89;10.749;-0.654;2;2
2;90;11.985;0.6;0;1
2;91;15.69;4.272;0;3
2;92;10.961;0;1;1
2;93;11.139;0;1;4
2;94;12.453;1.07;0;3
2;95;10.812;-0.149;2;1
2;96;12.546;1.161;0;1
