GEN;ID;FITNESS;GAINFITNESS;SURVIVAL;ORIGINE
0;6;10.955;0;3;0
0;19;13.259;0;2;0
0;30;12.181;0;1;0
0;31;10.891;0;3;0
0;40;12.145;0;2;0
1;74;11.069;0.178;2;1
1;78;9.898;-1.638;3;2
2;81;9.898;0;3;3
2;94;9.733;-0.165;4;1
2;108;9.898;0;2;2
3;138;9.628;-0.106;4;1
3;139;9.733;0;2;2
3;146;9.898;0;2;2
3;150;9.733;0;3;2
3;159;9.898;0;1;2
4;163;9.643;-0.173;2;3
4;182;9.495;-0.32;4;2
4;194;9.628;0;1;3
5;207;9.495;0;3;3
5;216;9.506;-0.137;2;1
5;233;9.282;-0.279;3;3
5;235;9.495;0;3;3
6;241;9.321;-0.068;3;3
6;251;9.241;-0.265;3;3
6;274;9.195;-0.3;4;3
7;290;9.195;0;3;2
7;300;9.241;0;2;1
7;308;9.088;-0.107;4;1
8;352;8.181;-0.984;4;2
9;369;8.181;0;3;2
9;382;8.181;0;4;1
10;404;8.181;0;3;3
10;425;8.181;0;3;1
10;428;8.181;0;2;2
11;452;8.134;-0.047;3;3
11;470;8.041;-0.139;5;1
12;498;8.134;0;2;3
12;516;8.041;0;4;3
12;518;8.041;0;4;4
13;543;8.041;0;2;2
13;556;8.041;0;2;4
13;559;7.917;-0.217;4;3
14;566;7.917;0;2;1
14;579;7.826;-0.215;4;1
14;589;7.917;0;3;2
14;595;7.917;0;3;4
15;610;7.826;0;3;1
15;619;7.826;0;4;3
15;630;7.917;0;2;2
16;642;7.826;0;3;2
16;646;7.798;-0.119;4;3
16;652;7.826;0;1;1
16;669;7.826;0;2;1
16;680;7.805;-0.067;3;3
17;685;7.805;0;3;1
17;699;7.798;0;3;1
17;707;7.637;-0.175;4;2
17;713;7.573;-0.254;4;3
17;715;7.823;-0.003;2;3
18;754;6.972;-0.746;5;3
19;763;6.972;0;4;1
19;789;6.972;0;3;2
20;812;6.972;0;2;3
20;831;6.972;0;2;2
20;835;6.892;-0.08;3;3
20;840;6.972;0;3;2
21;843;6.972;0;2;2
21;844;6.972;0;1;2
21;861;6.818;-0.074;2;1
21;863;6.892;0;3;1
22;889;6.818;0;4;3
22;895;6.824;-0.108;3;2
22;903;6.818;0;3;1
22;915;6.79;-0.102;5;3
22;917;6.818;0;4;1
23;922;6.818;0;3;3
23;923;6.818;0;1;3
23;930;6.79;0;3;3
23;931;6.818;0;2;2
23;937;6.725;-0.099;4;3
23;938;6.818;0;3;3
24;961;6.62;-0.198;4;1
24;968;6.725;0;3;1
24;986;6.43;-0.388;3;1
25;1013;6.43;0;3;3
25;1014;6.62;0;3;2
25;1018;6.725;0;2;3
26;1041;6.43;0;3;2
26;1047;6.43;0;4;2
26;1065;6.43;0;3;3
26;1078;6.43;0;4;3
26;1079;6.43;0;3;3
27;1087;6.43;0;3;2
27;1092;6.43;0;1;3
27;1099;6.43;0;3;3
27;1102;6.43;0;2;2
27;1103;6.43;0;2;3
27;1104;6.43;0;2;3
27;1105;6.43;0;1;2
27;1109;6.43;0;2;3
27;1110;6.43;0;2;3
27;1111;6.43;0;4;2
27;1114;6.43;0;4;3
27;1115;6.43;0;5;2
27;1116;6.43;0;9;4
27;1120;6.43;0;5;1
28;1121;6.43;0;2;3
28;1122;6.43;0;6;2
28;1130;6.43;0;1;2
28;1135;6.43;0;2;3
28;1146;6.43;0;2;2
28;1148;6.43;0;4;2
28;1151;6.43;0;1;2
28;1154;6.43;0;3;3
28;1159;6.43;0;1;1
28;1160;6.43;0;2;2
29;1173;6.43;0;2;1
29;1174;6.43;0;5;2
29;1182;6.43;0;3;3
29;1191;6.43;0;3;3
29;1192;6.43;0;1;3
30;1203;6.43;0;2;2
30;1220;6.43;0;5;3
30;1221;6.43;0;6;3
30;1234;6.43;0;1;2
30;1235;6.43;0;3;2
30;1236;6.43;0;3;3
30;1239;6.43;0;1;2
31;1254;6.43;0;5;2
31;1256;6.43;0;5;2
31;1257;6.43;0;5;2
31;1259;6.43;0;6;3
31;1263;6.43;0;4;3
31;1274;6.43;0;1;2
32;1292;6.43;0;2;3
32;1299;6.43;0;1;3
32;1302;6.43;0;1;3
32;1303;6.43;0;4;3
33;1353;6.43;0;3;2
33;1359;6.43;0;2;3
34;1365;6.325;-0.104;3;3
34;1371;6.43;0;1;2
34;1379;6.43;0;2;1
35;1406;6.325;0;3;2
35;1408;6.232;-0.146;3;2
35;1409;6.43;0;3;3
35;1411;6.179;-0.198;3;2
36;1449;6.298;0.02;2;3
36;1453;6.091;-0.287;3;2
36;1456;6.038;-0.266;3;2
37;1482;6.232;0;1;3
37;1492;6.091;0;2;2
37;1497;6.038;0;2;1
37;1515;5.91;-0.355;3;2
37;1517;6.179;0;2;3
38;1530;5.91;0;3;2
38;1537;5.751;-0.454;3;2
38;1541;5.85;-0.241;3;1
38;1543;5.877;-0.231;3;3
38;1555;5.91;0;3;1
39;1584;5.751;0;3;1
39;1587;5.732;-0.148;4;2
39;1592;5.906;0.027;2;2
40;1615;5.691;-0.138;2;3
40;1622;5.751;0;2;4
40;1624;5.732;0;2;2
40;1625;5.675;-0.13;3;2
41;1642;5.675;0;3;3
41;1650;5.675;0;2;2
41;1652;5.668;-0.074;3;2
41;1664;5.675;0;3;3
42;1681;5.675;0;2;2
42;1699;5.563;-0.12;4;3
43;1724;5.389;-0.174;4;1
43;1733;5.563;0;2;1
43;1737;5.563;0;3;2
43;1740;5.611;-0.06;2;2
43;1759;5.668;0;1;1
44;1789;5.389;0;2;1
44;1798;5.462;-0.015;3;2
45;1801;5.279;-0.182;2;3
45;1816;5.389;0;2;1
45;1821;5.389;0;4;2
46;1847;5.279;0;3;1
46;1855;5.279;0;2;2
46;1856;5.389;0;2;3
46;1869;5.279;0;2;1
47;1886;5.279;0;2;3
47;1888;5.279;0;4;3
47;1897;5.279;0;3;3
47;1904;5.279;0;3;3
47;1914;5.279;0;2;3
47;1916;5.279;0;3;2
48;1924;5.279;0;2;2
48;1940;5.279;0;2;3
48;1941;5.279;0;2;1
49;1964;5.279;0;2;2
49;1975;5.279;0;3;2
49;1989;5.279;0;4;2
49;1990;5.279;0;3;4
49;1994;5.279;0;1;1
50;2001;5.016;-0.263;4;1
50;2007;5.279;0;1;2
50;2035;5.128;-0.151;3;1
51;2048;4.936;-0.268;3;2
52;2084;4.936;0;2;2
52;2085;4.936;0;4;1
53;2139;4.936;0;3;2
53;2146;4.924;-0.012;4;3
53;2157;4.936;0;2;4
54;2171;4.777;-0.153;5;3
54;2185;4.936;0;1;2
54;2196;4.924;0;3;2
55;2211;4.776;-0.074;5;2
55;2220;4.777;0;3;2
55;2223;4.777;0;3;2
55;2235;4.777;0;2;1
56;2249;4.776;0;2;2
56;2268;4.777;0;2;3
57;2290;4.776;0;3;2
57;2294;4.728;-0.049;4;3
57;2311;4.776;0;3;1
57;2317;4.777;0;2;3
58;2325;4.633;-0.143;4;3
58;2344;4.728;0;3;4
59;2361;4.633;0;2;3
59;2373;4.633;-0.048;4;3
59;2381;4.728;0;3;1
59;2394;4.728;0;2;4
60;2401;4.633;0;3;1
60;2415;4.612;-0.068;3;2
60;2433;4.633;0;3;4
60;2436;4.633;0;3;3
61;2449;4.588;-0.034;3;2
61;2458;4.534;-0.089;4;2
61;2460;4.612;0;1;3
61;2478;4.597;-0.036;3;2
62;2495;4.56;-0.041;3;2
62;2502;4.597;0;3;1
62;2504;4.534;0;3;2
62;2510;4.534;0;3;3
63;2548;4.442;-0.105;4;2
63;2559;4.502;-0.064;4;2
64;2572;4.442;0;4;3
64;2575;4.442;0;4;2
64;2600;4.422;-0.066;5;2
65;2614;4.441;0.009;3;2
65;2625;4.422;0;4;3
65;2630;4.422;0;5;2
65;2636;4.442;0;1;2
65;2638;4.442;0;2;2
66;2644;4.429;-0.003;2;3
66;2648;4.422;0;4;2
66;2658;4.417;-0.015;4;2
67;2683;4.422;0;3;3
67;2691;4.098;-0.323;4;3
67;2696;4.417;0;3;2
67;2710;4.424;0.004;1;2
68;2722;4.098;0;4;2
68;2723;4.098;0;5;2
68;2735;4.098;0;6;2
68;2736;4.417;0;2;2
68;2742;4.098;0;3;2
68;2758;4.098;0;4;1
69;2765;4.098;0;2;2
69;2772;4.098;0;5;3
69;2775;4.098;0;2;2
69;2787;4.098;0;5;1
69;2792;4.098;0;4;1
69;2793;4.098;0;8;2
69;2797;4.098;0;1;2
69;2799;4.098;0;1;2
70;2810;4.098;0;6;3
70;2820;4.098;0;6;1
70;2823;4.098;0;3;2
70;2827;4.098;0;2;3
70;2833;4.098;0;1;3
70;2834;4.098;0;2;3
70;2835;4.098;0;3;2
70;2840;4.098;0;3;2
71;2846;4.098;0;1;3
71;2849;4.098;0;3;2
71;2854;4.098;0;2;3
71;2858;4.098;0;2;3
71;2872;4.098;0;4;1
72;2895;4.098;0;9;2
72;2900;4.098;0;5;3
72;2911;4.098;0;3;3
73;2934;4.098;0;1;1
73;2935;4.098;0;3;3
73;2939;4.098;0;3;1
